year,month,latitude,upwelling_index,model
1982.0,9.0,37.0,0.673,gfdl
1982.0,9.0,38.0,1.125,gfdl
1982.0,9.0,39.0,1.674,gfdl
1982.0,9.0,40.0,1.568,gfdl
1982.0,9.0,41.0,1.482,gfdl
1982.0,9.0,42.0,1.435,gfdl
1982.0,9.0,43.0,1.195,gfdl
1982.0,9.0,44.0,0.876,gfdl
1982.0,9.0,45.0,0.783,gfdl
1982.0,9.0,46.0,0.692,gfdl
1982.0,9.0,47.0,0.679,gfdl
1982.0,10.0,31.0,0.532,gfdl
1982.0,10.0,32.0,0.386,gfdl
1982.0,10.0,33.0,0.432,gfdl
1982.0,10.0,34.0,0.398,gfdl
1982.0,10.0,35.0,0.723,gfdl
1982.0,10.0,36.0,0.384,gfdl
1982.0,10.0,37.0,0.262,gfdl
1982.0,10.0,38.0,0.227,gfdl
1982.0,10.0,39.0,0.485,gfdl
1982.0,10.0,40.0,0.393,gfdl
1982.0,10.0,41.0,0.237,gfdl
1982.0,10.0,42.0,0.198,gfdl
1982.0,10.0,43.0,0.092,gfdl
1982.0,10.0,44.0,-0.021,gfdl
1982.0,10.0,45.0,-0.126,gfdl
1982.0,10.0,46.0,-0.146,gfdl
1982.0,10.0,47.0,-0.102,gfdl
1982.0,11.0,31.0,0.232,gfdl
1982.0,11.0,32.0,0.24,gfdl
1982.0,11.0,33.0,0.325,gfdl
1982.0,11.0,34.0,0.371,gfdl
1982.0,11.0,35.0,0.844,gfdl
1982.0,11.0,36.0,0.51,gfdl
1982.0,11.0,37.0,0.676,gfdl
1982.0,11.0,38.0,0.777,gfdl
1982.0,11.0,39.0,0.916,gfdl
1982.0,11.0,40.0,0.467,gfdl
1982.0,11.0,41.0,0.402,gfdl
1982.0,11.0,42.0,0.118,gfdl
1982.0,11.0,43.0,0.036,gfdl
1982.0,11.0,44.0,-0.084,gfdl
1982.0,11.0,45.0,-0.161,gfdl
1982.0,11.0,46.0,-0.1,gfdl
1982.0,11.0,47.0,-0.053,gfdl
1982.0,12.0,31.0,0.323,gfdl
1982.0,12.0,32.0,0.307,gfdl
1982.0,12.0,33.0,0.555,gfdl
1982.0,12.0,34.0,0.227,gfdl
1982.0,12.0,35.0,0.748,gfdl
1982.0,12.0,36.0,0.524,gfdl
1982.0,12.0,37.0,0.42,gfdl
1982.0,12.0,38.0,0.567,gfdl
1982.0,12.0,39.0,0.701,gfdl
1982.0,12.0,40.0,0.285,gfdl
1982.0,12.0,41.0,0.0,gfdl
1982.0,12.0,42.0,0.013,gfdl
1982.0,12.0,43.0,-0.344,gfdl
1982.0,12.0,44.0,-0.622,gfdl
1982.0,12.0,45.0,-0.634,gfdl
1982.0,12.0,46.0,-0.49,gfdl
1982.0,12.0,47.0,-0.586,gfdl
1983.0,1.0,31.0,-0.171,gfdl
1983.0,1.0,32.0,-0.047,gfdl
1983.0,1.0,33.0,-0.078,gfdl
1983.0,1.0,34.0,0.083,gfdl
